polygon,year,peak_index,tier,payout_pct
Eastern barrier,2009,0.4300000071525574,0,0.0
Eastern barrier,2010,3.9800000190734863,1,25.0
Eastern barrier,2011,0.0,0,0.0
Eastern barrier,2012,0.0,0,0.0
Eastern barrier,2013,0.4600000083446502,0,0.0
Eastern barrier,2014,0.0,0,0.0
Eastern barrier,2015,0.0,0,0.0
Eastern barrier,2016,3.140000104904175,1,25.0
Eastern barrier,2017,0.0,0,0.0
Eastern barrier,2018,0.1599999964237213,0,0.0
Eastern barrier,2019,2.759999990463257,0,0.0
Eastern barrier,2020,0.4900000095367431,0,0.0
Eastern barrier,2021,0.3100000023841858,0,0.0
Eastern barrier,2022,0.0,0,0.0
Eastern barrier,2023,0.9900000095367432,0,0.0
Eastern barrier,2024,9.079999923706056,3,100.0
Northern barrier,2009,0.449999988079071,0,0.0
Northern barrier,2010,2.319999933242798,0,0.0
Northern barrier,2011,0.0,0,0.0
Northern barrier,2012,0.0,0,0.0
Northern barrier,2013,0.2899999916553497,0,0.0
Northern barrier,2014,0.0,0,0.0
Northern barrier,2015,0.0,0,0.0
Northern barrier,2016,4.329999923706055,1,25.0
Northern barrier,2017,0.0,0,0.0
Northern barrier,2018,0.1700000017881393,0,0.0
Northern barrier,2019,1.1299999952316284,0,0.0
Northern barrier,2020,0.3000000119209289,0,0.0
Northern barrier,2021,0.1500000059604644,0,0.0
Northern barrier,2022,0.0,0,0.0
Northern barrier,2023,0.6100000143051147,0,0.0
Northern barrier,2024,7.619999885559082,2,60.0
SW double barrier (Passe en S),2009,0.4399999976158142,0,0.0
SW double barrier (Passe en S),2010,2.4600000381469727,0,0.0
SW double barrier (Passe en S),2011,0.0,0,0.0
SW double barrier (Passe en S),2012,0.0,0,0.0
SW double barrier (Passe en S),2013,0.0,0,0.0
SW double barrier (Passe en S),2014,0.0,0,0.0
SW double barrier (Passe en S),2015,0.0,0,0.0
SW double barrier (Passe en S),2016,4.190000057220459,1,25.0
SW double barrier (Passe en S),2017,0.0,0,0.0
SW double barrier (Passe en S),2018,0.0,0,0.0
SW double barrier (Passe en S),2019,0.8899999856948853,0,0.0
SW double barrier (Passe en S),2020,0.2899999916553497,0,0.0
SW double barrier (Passe en S),2021,0.0,0,0.0
SW double barrier (Passe en S),2022,0.0,0,0.0
SW double barrier (Passe en S),2023,0.8399999737739563,0,0.0
SW double barrier (Passe en S),2024,7.28000020980835,2,60.0
Southern barrier,2009,0.4399999976158142,0,0.0
Southern barrier,2010,3.049999952316284,1,25.0
Southern barrier,2011,0.0,0,0.0
Southern barrier,2012,0.0,0,0.0
Southern barrier,2013,0.3000000119209289,0,0.0
Southern barrier,2014,0.0,0,0.0
Southern barrier,2015,0.0,0,0.0
Southern barrier,2016,3.509999990463257,1,25.0
Southern barrier,2017,0.0,0,0.0
Southern barrier,2018,0.1500000059604644,0,0.0
Southern barrier,2019,2.869999885559082,0,0.0
Southern barrier,2020,0.3400000035762787,0,0.0
Southern barrier,2021,0.1400000005960464,0,0.0
Southern barrier,2022,0.0,0,0.0
Southern barrier,2023,0.9700000286102296,0,0.0
Southern barrier,2024,7.949999809265137,2,60.0
