polygon,year,peak_index,tier,payout_pct,payout_eur
L'Ermitage / La Saline (Saint-Gilles),2009,6.900000095367432,2,60.0,150000.0
L'Ermitage / La Saline (Saint-Gilles),2010,0.1599999964237213,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2011,3.240000009536743,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2012,0.6499999761581421,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2013,0.4699999988079071,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2014,3.759999990463257,1,25.0,62500.0
L'Ermitage / La Saline (Saint-Gilles),2015,1.909999966621399,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2016,7.989999771118164,2,60.0,150000.0
L'Ermitage / La Saline (Saint-Gilles),2017,6.809999942779541,2,60.0,150000.0
L'Ermitage / La Saline (Saint-Gilles),2018,4.090000152587891,1,25.0,62500.0
L'Ermitage / La Saline (Saint-Gilles),2019,13.989999771118164,3,100.0,250000.0
L'Ermitage / La Saline (Saint-Gilles),2020,1.2899999618530271,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2021,8.859999656677246,2,60.0,150000.0
L'Ermitage / La Saline (Saint-Gilles),2022,0.4399999976158142,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2023,0.6100000143051147,0,0.0,0.0
L'Ermitage / La Saline (Saint-Gilles),2024,0.75,0,0.0,0.0
Saint-Leu,2009,6.730000019073486,1,25.0,62500.0
Saint-Leu,2010,0.1700000017881393,0,0.0,0.0
Saint-Leu,2011,2.640000104904175,0,0.0,0.0
Saint-Leu,2012,0.7900000214576721,0,0.0,0.0
Saint-Leu,2013,0.1500000059604644,0,0.0,0.0
Saint-Leu,2014,3.299999952316284,0,0.0,0.0
Saint-Leu,2015,1.6799999475479126,0,0.0,0.0
Saint-Leu,2016,8.25,2,60.0,150000.0
Saint-Leu,2017,6.670000076293945,1,25.0,62500.0
Saint-Leu,2018,3.490000009536743,1,25.0,62500.0
Saint-Leu,2019,13.5600004196167,3,100.0,250000.0
Saint-Leu,2020,0.7599999904632568,0,0.0,0.0
Saint-Leu,2021,8.369999885559082,2,60.0,150000.0
Saint-Leu,2022,0.0,0,0.0,0.0
Saint-Leu,2023,0.3000000119209289,0,0.0,0.0
Saint-Leu,2024,0.5899999737739563,0,0.0,0.0
