polygon,year,peak,tier,payout_pct
hex_002_028,1998,168.77032130698362,0,0.0
hex_002_028,1999,141.75198302851783,0,0.0
hex_002_028,2000,127.70615310695436,0,0.0
hex_002_028,2001,146.6705670674642,0,0.0
hex_002_028,2002,151.90574937873416,0,0.0
hex_002_028,2003,147.07557856829436,0,0.0
hex_002_028,2004,158.91469431453282,0,0.0
hex_002_028,2005,210.98547831137975,0,0.0
hex_002_028,2006,176.28660726810494,0,0.0
hex_002_028,2007,411.4263521787855,3,100.0
hex_002_029,1998,179.87822839842903,0,0.0
hex_002_029,1999,147.96096931219103,0,0.0
hex_002_029,2000,126.92565694120195,0,0.0
hex_002_029,2001,166.67165595703653,0,0.0
hex_002_029,2002,170.00735428624682,0,0.0
hex_002_029,2003,132.55758854036577,0,0.0
hex_002_029,2004,171.6331776139471,0,0.0
hex_002_029,2005,196.43858876730005,0,0.0
hex_002_029,2006,162.6515932929847,0,0.0
hex_002_029,2007,423.28298437953,3,100.0
hex_003_027,1998,168.77032130698362,0,0.0
hex_003_027,1999,146.62940893446407,0,0.0
hex_003_027,2000,127.70615310695436,0,0.0
hex_003_027,2001,146.6705670674642,0,0.0
hex_003_027,2002,152.25678722153108,0,0.0
hex_003_027,2003,124.31452145434429,0,0.0
hex_003_027,2004,159.87944707367154,0,0.0
hex_003_027,2005,222.86571682028472,1,20.0
hex_003_027,2006,174.44010133822758,0,0.0
hex_003_027,2007,386.33715233276286,3,100.0
hex_004_024,1998,141.93448588492143,0,0.0
hex_004_024,1999,161.98955507363297,0,0.0
hex_004_024,2000,124.5711959196296,0,0.0
hex_004_024,2001,112.1218614684004,0,0.0
hex_004_024,2002,161.43773101889838,0,0.0
hex_004_024,2003,161.74626825082635,0,0.0
hex_004_024,2004,131.66594775243766,0,0.0
hex_004_024,2005,105.82508681282401,0,0.0
hex_004_024,2006,134.9928578208801,0,0.0
hex_004_024,2007,181.53486940166601,0,0.0
hex_004_025,1998,141.93448588492143,0,0.0
hex_004_025,1999,168.12077864910165,0,0.0
hex_004_025,2000,126.98858806039723,0,0.0
hex_004_025,2001,108.97286590130793,0,0.0
hex_004_025,2002,160.2492103718304,0,0.0
hex_004_025,2003,161.74626825082635,0,0.0
hex_004_025,2004,134.85894342145158,0,0.0
hex_004_025,2005,107.22872619393799,0,0.0
hex_004_025,2006,133.0201898192573,0,0.0
hex_004_025,2007,187.59764574132447,0,0.0
hex_004_026,1998,128.31799127330382,0,0.0
hex_004_026,1999,160.58955251156456,0,0.0
hex_004_026,2000,144.2044264890088,0,0.0
hex_004_026,2001,101.5537651202331,0,0.0
hex_004_026,2002,154.44983307454322,0,0.0
hex_004_026,2003,124.21517237472865,0,0.0
hex_004_026,2004,145.60222873289138,0,0.0
hex_004_026,2005,111.68328578814864,0,0.0
hex_004_026,2006,145.25323789337858,0,0.0
hex_004_026,2007,192.69262655407604,1,20.0
hex_005_022,1998,124.90983747982317,0,0.0
hex_005_022,1999,137.71901254602605,0,0.0
hex_005_022,2000,131.65124854921467,0,0.0
hex_005_022,2001,119.7885801547683,0,0.0
hex_005_022,2002,183.95153262958758,0,0.0
hex_005_022,2003,186.15237301008156,0,0.0
hex_005_022,2004,138.9443329172002,0,0.0
hex_005_022,2005,107.72832838763793,0,0.0
hex_005_022,2006,129.71688711202393,0,0.0
hex_005_022,2007,171.75119202909784,0,0.0
hex_005_023,1998,139.2758252395234,0,0.0
hex_005_023,1999,150.1052872210617,0,0.0
hex_005_023,2000,131.4303372931646,0,0.0
hex_005_023,2001,118.82452664691542,0,0.0
hex_005_023,2002,179.3796601230237,0,0.0
hex_005_023,2003,188.76441013464498,1,20.0
hex_005_023,2004,137.0191681862664,0,0.0
hex_005_023,2005,107.05498902543965,0,0.0
hex_005_023,2006,134.9928578208801,0,0.0
hex_005_023,2007,182.23834620459212,0,0.0
hex_005_024,1998,141.93448588492143,0,0.0
hex_005_024,1999,148.70520388655365,0,0.0
hex_005_024,2000,133.4792996947964,0,0.0
hex_005_024,2001,110.03734407174919,0,0.0
hex_005_024,2002,160.91924088985556,0,0.0
hex_005_024,2003,172.9100342499175,0,0.0
hex_005_024,2004,144.51740841505014,0,0.0
hex_005_024,2005,110.86291896754256,0,0.0
hex_005_024,2006,135.59723291593707,0,0.0
hex_005_024,2007,179.46676747254614,0,0.0
hex_005_025,1998,135.30973579376936,0,0.0
hex_005_025,1999,162.53996058008323,0,0.0
hex_005_025,2000,151.40150549708557,0,0.0
hex_005_025,2001,117.5612627874025,0,0.0
hex_005_025,2002,158.4972187693831,0,0.0
hex_005_025,2003,177.16820155457077,0,0.0
hex_005_025,2004,150.2360284225146,0,0.0
hex_005_025,2005,118.36166308553683,0,0.0
hex_005_025,2006,139.5496532744459,0,0.0
hex_005_025,2007,188.72082284680258,1,20.0
hex_006_022,1998,119.29505888937248,0,0.0
hex_006_022,1999,113.77405251758793,0,0.0
