polygon,year,peak_anomaly,tier,payout_pct,thresholds,payout_eur
hex_002_028,2023,129.63,0,0.0,215.4;256.5;287.1,0.0
hex_002_029,2023,125.41,0,0.0,217.1;258.6;289.4,0.0
hex_003_027,2023,135.44,0,0.0,212.3;255.8;288.1,0.0
hex_004_024,2023,167.51,0,0.0,192.7;228.6;255.3,0.0
hex_004_025,2023,150.15,0,0.0,190.7;226.6;253.2,0.0
hex_004_026,2023,129.64,0,0.0,183.1;216.7;241.6,0.0
hex_005_022,2023,162.17,0,0.0,188.2;222.6;248.1,0.0
hex_005_023,2023,167.51,0,0.0,187.1;221.0;246.2,0.0
hex_005_024,2023,162.41,0,0.0,183.5;217.0;241.8,0.0
hex_005_025,2023,149.97,0,0.0,179.1;211.4;235.5,0.0
hex_006_022,2023,167.12,0,0.0,180.5;213.1;237.3,0.0
hex_006_024,2023,147.18,0,0.0,176.5;208.2;231.7,0.0
hex_006_025,2023,138.6,0,0.0,173.4;203.7;226.2,0.0
hex_007_020,2023,156.98,0,0.0,178.0;210.3;234.3,0.0
hex_007_021,2023,175.5,0,0.0,186.9;222.3;248.6,0.0
hex_007_022,2023,175.5,0,0.0,189.3;226.5;254.1,0.0
hex_007_023,2023,154.07,0,0.0,184.4;220.2;246.8,0.0
hex_007_024,2023,136.74,0,0.0,176.2;208.2;231.9,0.0
hex_007_025,2023,117.82,0,0.0,165.7;194.4;215.7,0.0
hex_008_019,2023,153.53,0,0.0,157.1;183.7;203.5,0.0
hex_008_020,2023,164.58,0,0.0,173.9;206.2;230.2,0.0
hex_008_021,2023,164.58,0,0.0,183.6;219.9;246.9,0.0
hex_008_022,2023,159.56,0,0.0,193.4;233.7;263.6,0.0
hex_008_023,2023,159.86,0,0.0,194.5;235.6;266.1,0.0
hex_008_024,2023,151.08,0,0.0,181.7;216.3;242.0,0.0
hex_008_025,2023,131.85,0,0.0,174.3;205.6;228.9,0.0
hex_009_017,2023,156.08,1,20.0,137.3;158.7;174.6,50000.0
hex_009_018,2023,170.54,2,50.0,145.3;168.6;185.8,125000.0
hex_009_019,2023,176.38,1,20.0,170.4;202.1;225.7,50000.0
hex_009_020,2023,178.78,0,0.0,182.7;219.2;246.3,0.0
hex_009_021,2023,153.11,0,0.0,192.5;233.4;263.6,0.0
hex_009_022,2023,141.94,0,0.0,195.5;237.8;269.1,0.0
hex_009_023,2023,140.94,0,0.0,184.7;221.1;248.2,0.0
hex_010_000,2023,46.67,0,0.0,168.5;193.8;212.5,0.0
hex_010_016,2023,127.85,0,0.0,136.0;157.9;174.1,0.0
hex_010_018,2023,160.24,1,20.0,142.6;164.7;181.2,50000.0
hex_010_019,2023,172.48,1,20.0,160.0;188.9;210.4,50000.0
hex_010_020,2023,184.92,1,20.0,175.2;209.2;234.4,50000.0
hex_010_021,2023,177.29,0,0.0,184.8;222.0;249.6,0.0
hex_010_022,2023,176.6,0,0.0,190.5;230.3;259.8,0.0
hex_010_023,2023,155.06,0,0.0,189.9;228.9;257.8,0.0
hex_011_014,2023,179.07,2,50.0,149.4;176.6;196.7,125000.0
hex_011_015,2023,183.05,2,50.0,146.2;171.9;191.0,125000.0
hex_011_017,2023,164.86,1,20.0,144.9;167.6;184.4,50000.0
hex_011_018,2023,171.69,1,20.0,154.7;181.6;201.6,50000.0
hex_011_019,2023,196.03,1,20.0,168.6;201.6;226.1,50000.0
hex_011_021,2023,193.87,1,20.0,190.9;231.0;260.8,50000.0
hex_011_022,2023,213.13,1,20.0,191.3;231.0;260.4,50000.0
