polygon,year,peak_anomaly,tier,payout_pct,thresholds
hex_002_028,2023,129.63,0,0.0,182.8;215.4;246.6
hex_002_029,2023,125.41,0,0.0,184.3;217.1;248.7
hex_003_027,2023,135.44,0,0.0,177.9;212.3;245.3
hex_004_024,2023,167.51,1,25.0,164.2;192.7;220.0
hex_004_025,2023,150.15,0,0.0,162.3;190.7;217.9
hex_004_026,2023,129.64,0,0.0,156.6;183.1;208.6
hex_005_022,2023,162.17,1,25.0,161.0;188.2;214.3
hex_005_023,2023,167.51,1,25.0,160.3;187.1;212.9
hex_005_024,2023,162.41,1,25.0,157.0;183.5;208.9
hex_005_025,2023,149.97,0,0.0,153.5;179.1;203.7
hex_006_022,2023,167.12,1,25.0,154.7;180.5;205.2
hex_006_024,2023,147.18,0,0.0,151.4;176.5;200.6
hex_006_025,2023,138.6,0,0.0,149.3;173.4;196.4
hex_007_020,2023,156.98,1,25.0,152.4;178.0;202.5
hex_007_021,2023,175.5,1,25.0,158.9;186.9;213.8
hex_007_022,2023,175.5,1,25.0,159.8;189.3;217.5
hex_007_023,2023,154.07,0,0.0,156.1;184.4;211.6
hex_007_024,2023,136.74,0,0.0,150.9;176.2;200.5
hex_007_025,2023,117.82,0,0.0,143.0;165.7;187.5
hex_008_019,2023,153.53,1,25.0,136.0;157.1;177.3
hex_008_020,2023,164.58,1,25.0,148.3;173.9;198.4
hex_008_021,2023,164.58,1,25.0,154.9;183.6;211.2
hex_008_022,2023,159.56,0,0.0,161.5;193.4;224.0
hex_008_023,2023,159.86,0,0.0,162.0;194.5;225.7
hex_008_024,2023,151.08,0,0.0,154.3;181.7;208.0
hex_008_025,2023,131.85,0,0.0,149.4;174.3;198.1
hex_009_017,2023,156.08,3,100.0,120.4;137.3;153.6
hex_009_018,2023,170.54,3,100.0,126.9;145.3;163.0
hex_009_019,2023,176.38,2,60.0,145.3;170.4;194.5
hex_009_020,2023,178.78,1,25.0,153.8;182.7;210.4
hex_009_021,2023,153.11,0,0.0,160.2;192.5;223.5
hex_009_022,2023,141.94,0,0.0,162.0;195.5;227.6
hex_009_023,2023,140.94,0,0.0,155.8;184.7;212.3
hex_010_000,2023,46.67,0,0.0,148.5;168.5;187.7
hex_010_016,2023,127.85,1,25.0,118.7;136.0;152.6
hex_010_018,2023,160.24,3,100.0,125.0;142.6;159.4
hex_010_019,2023,172.48,2,60.0,137.1;160.0;181.9
hex_010_020,2023,184.92,2,60.0,148.3;175.2;201.0
hex_010_021,2023,177.29,1,25.0,155.4;184.8;213.1
hex_010_022,2023,176.6,1,25.0,159.0;190.5;220.7
hex_010_023,2023,155.06,0,0.0,159.0;189.9;219.5
hex_011_014,2023,179.07,3,100.0,127.8;149.4;170.0
hex_011_015,2023,183.05,3,100.0,125.8;146.2;165.7
hex_011_017,2023,164.86,3,100.0,127.0;144.9;162.1
hex_011_018,2023,171.69,2,60.0,133.4;154.7;175.1
hex_011_019,2023,196.03,3,100.0,142.4;168.6;193.6
hex_011_021,2023,193.87,2,60.0,159.1;190.9;221.3
hex_011_022,2023,213.13,2,60.0,160.0;191.3;221.5
hex_012_000,2023,60.9,0,0.0,146.9;167.5;187.2
hex_012_013,2023,184.11,2,60.0,140.1;166.6;192.1
hex_012_014,2023,181.21,2,60.0,139.0;166.4;192.7
hex_012_015,2023,183.05,3,100.0,134.2;158.4;181.5
hex_012_016,2023,173.56,3,100.0,122.7;140.8;158.2
hex_012_017,2023,176.05,3,100.0,125.3;142.6;159.3
hex_012_018,2023,177.58,3,100.0,131.3;150.9;169.7
hex_013_000,2023,77.05,0,0.0,140.3;160.3;179.5
hex_013_001,2023,76.81,0,0.0,139.5;159.7;179.0
hex_013_002,2023,74.25,0,0.0,139.1;160.0;180.1
hex_013_003,2023,79.45,0,0.0,139.6;161.1;181.8
hex_013_005,2023,110.91,0,0.0,135.4;159.2;182.1
hex_013_010,2023,173.55,3,100.0,127.3;148.9;169.5
hex_013_011,2023,184.05,3,100.0,134.7;158.5;181.2
hex_013_013,2023,189.52,3,100.0,138.2;163.6;188.1
hex_013_014,2023,180.1,2,60.0,140.4;166.0;190.7
hex_013_016,2023,175.7,3,100.0,133.5;154.2;174.0
hex_013_017,2023,175.7,3,100.0,133.4;153.2;172.2
hex_014_000,2023,90.78,0,0.0,133.1;151.7;169.6
hex_014_001,2023,98.32,0,0.0,134.0;153.4;172.0
hex_014_002,2023,108.33,0,0.0,133.8;154.2;173.8
hex_014_003,2023,93.92,0,0.0,138.1;159.3;179.5
hex_014_004,2023,101.51,0,0.0,136.1;157.1;177.2
hex_014_005,2023,119.26,0,0.0,134.2;155.3;175.6
hex_014_007,2023,155.49,1,25.0,141.5;166.1;189.6
hex_014_008,2023,173.35,2,60.0,144.9;171.3;196.7
hex_014_009,2023,180.23,2,60.0,136.7;159.2;180.8
hex_014_010,2023,183.08,3,100.0,125.7;144.6;162.6
hex_014_011,2023,173.15,3,100.0,124.5;143.0;160.7
hex_014_012,2023,179.61,3,100.0,133.5;156.5;178.5
hex_014_013,2023,173.39,2,60.0,134.6;158.1;180.6
hex_015_000,2023,102.88,0,0.0,128.3;146.6;164.2
hex_015_001,2023,121.28,0,0.0,127.9;146.4;164.1
hex_015_002,2023,112.98,0,0.0,131.1;150.2;168.5
hex_015_003,2023,109.63,0,0.0,129.0;146.7;163.7
hex_015_004,2023,108.28,0,0.0,126.9;144.4;161.2
hex_015_005,2023,114.26,0,0.0,126.5;144.0;160.9
hex_015_006,2023,134.18,1,25.0,131.8;152.4;172.2
hex_015_007,2023,167.79,2,60.0,132.8;154.4;175.1
hex_015_008,2023,180.23,3,100.0,132.5;154.0;174.7
hex_015_009,2023,183.08,3,100.0,128.0;147.8;166.7
hex_015_010,2023,182.57,3,100.0,121.0;137.8;153.9
hex_015_011,2023,175.44,3,100.0,122.2;138.9;155.0
hex_015_012,2023,175.34,3,100.0,125.2;143.8;161.6
hex_015_013,2023,190.42,3,100.0,132.4;154.0;174.8
hex_016_000,2023,101.9,0,0.0,125.1;143.0;160.2
hex_016_001,2023,109.08,0,0.0,125.2;143.6;161.2
hex_016_002,2023,116.44,0,0.0,125.6;143.5;160.6
hex_016_003,2023,110.27,0,0.0,129.0;146.9;164.0
hex_016_004,2023,112.48,0,0.0,126.4;143.4;159.7
hex_016_005,2023,107.39,0,0.0,121.5;137.3;152.4
hex_016_006,2023,107.39,0,0.0,121.4;138.2;154.4
hex_016_007,2023,126.98,1,25.0,124.4;142.8;160.4
