polygon,year,peak_index,tier,payout_pct,payout_eur
hex_003_004,2023,65.77993774414062,0,0.0,0.0
hex_004_004,2023,53.666011810302734,0,0.0,0.0
hex_004_005,2023,57.94101333618164,0,0.0,0.0
hex_004_006,2023,63.484989166259766,0,0.0,0.0
hex_005_004,2023,46.989837646484375,0,0.0,0.0
hex_005_005,2023,58.89374923706055,0,0.0,0.0
hex_005_006,2023,59.74093246459961,0,0.0,0.0
hex_006_004,2023,46.235084533691406,0,0.0,0.0
hex_006_005,2023,45.91054153442383,0,0.0,0.0
hex_006_006,2023,51.749996185302734,0,0.0,0.0
hex_006_007,2023,53.30170822143555,0,0.0,0.0
hex_006_008,2023,47.13646697998047,0,0.0,0.0
hex_007_003,2023,52.488311767578125,0,0.0,0.0
hex_007_004,2023,42.28532409667969,0,0.0,0.0
hex_007_005,2023,48.351707458496094,0,0.0,0.0
hex_007_006,2023,51.150146484375,0,0.0,0.0
hex_007_007,2023,65.30792236328125,0,0.0,0.0
hex_007_008,2023,63.55443572998047,0,0.0,0.0
hex_008_003,2023,65.1000747680664,0,0.0,0.0
hex_008_004,2023,52.101593017578125,0,0.0,0.0
hex_008_005,2023,44.45639419555664,0,0.0,0.0
hex_008_006,2023,49.585693359375,0,0.0,0.0
hex_008_007,2023,53.066162109375,0,0.0,0.0
hex_008_008,2023,72.87714385986328,0,0.0,0.0
hex_008_009,2023,72.87714385986328,0,0.0,0.0
hex_009_004,2023,60.13498306274414,0,0.0,0.0
hex_009_005,2023,51.9097900390625,0,0.0,0.0
hex_009_006,2023,48.48998260498047,0,0.0,0.0
hex_009_007,2023,49.445068359375,0,0.0,0.0
hex_009_008,2023,72.87714385986328,0,0.0,0.0
hex_009_009,2023,66.54132843017578,0,0.0,0.0
hex_010_005,2023,65.50790405273438,0,0.0,0.0
hex_010_006,2023,56.53954315185547,0,0.0,0.0
hex_010_007,2023,52.58568572998047,0,0.0,0.0
hex_010_008,2023,50.13881301879883,0,0.0,0.0
hex_010_009,2023,66.54132843017578,0,0.0,0.0
hex_010_010,2023,65.7878646850586,0,0.0,0.0
hex_011_006,2023,53.22288513183594,0,0.0,0.0
hex_011_007,2023,51.07045364379883,0,0.0,0.0
hex_011_008,2023,46.32914352416992,0,0.0,0.0
hex_011_009,2023,71.5534896850586,0,0.0,0.0
hex_011_010,2023,71.5534896850586,0,0.0,0.0
hex_012_009,2023,52.1348762512207,0,0.0,0.0
hex_012_010,2023,68.12218475341797,0,0.0,0.0
hex_012_011,2023,70.81749725341797,0,0.0,0.0
hex_012_012,2023,71.02140808105469,0,0.0,0.0
hex_013_009,2023,58.15011215209961,0,0.0,0.0
hex_013_010,2023,68.5120620727539,0,0.0,0.0
hex_013_011,2023,71.37999725341797,0,0.0,0.0
hex_013_012,2023,67.50646209716797,0,0.0,0.0
hex_013_013,2023,54.82115936279297,0,0.0,0.0
hex_014_009,2023,66.75775909423828,0,0.0,0.0
hex_014_010,2023,63.72237777709961,0,0.0,0.0
hex_014_011,2023,67.1537094116211,0,0.0,0.0
hex_014_012,2023,68.45329284667969,0,0.0,0.0
hex_014_013,2023,72.71726989746094,0,0.0,0.0
hex_014_014,2023,67.34172821044922,0,0.0,0.0
hex_014_015,2023,70.73736572265625,0,0.0,0.0
hex_015_011,2023,60.85371017456055,0,0.0,0.0
hex_015_012,2023,75.08679962158203,0,0.0,0.0
hex_015_013,2023,63.803558349609375,0,0.0,0.0
hex_015_014,2023,69.03624725341797,0,0.0,0.0
hex_016_012,2023,77.62667083740234,0,0.0,0.0
hex_016_013,2023,74.3409652709961,0,0.0,0.0
hex_016_014,2023,82.09822082519531,0,0.0,0.0
hex_017_013,2023,86.33519744873047,0,0.0,0.0
hex_017_014,2023,101.64324188232422,0,0.0,0.0
hex_017_018,2023,130.87640380859375,2,100.0,250000.0
hex_017_025,2023,116.26651000976562,1,40.0,100000.0
hex_017_026,2023,114.42518615722656,1,40.0,100000.0
hex_018_018,2023,108.81857299804688,0,0.0,0.0
hex_018_019,2023,114.32588195800781,1,40.0,100000.0
hex_018_020,2023,115.24164581298828,1,40.0,100000.0
hex_018_023,2023,112.7004165649414,1,40.0,100000.0
hex_018_024,2023,117.54850006103516,1,40.0,100000.0
hex_018_025,2023,112.25171661376953,1,40.0,100000.0
hex_019_014,2023,86.13575744628906,0,0.0,0.0
hex_019_015,2023,85.93620300292969,0,0.0,0.0
hex_019_017,2023,108.81857299804688,0,0.0,0.0
hex_019_018,2023,121.93721008300781,1,40.0,100000.0
hex_019_019,2023,112.11273956298828,1,40.0,100000.0
